IDTournament|Tournament|Indoor|TournamentType|Surface|Country|TournamentPrize|Draw|TournamentStart|TournamentEnd|e|y
38|Miami Open, presented by Itau|0|{'y': 2010, 'e': 403}|Hard|FL, U.S.A.|$3645000|128|22.03.2010|04.04.2010|403|2010
39|Grand Prix Hassan II|0|{'y': 2010, 'e': 360}|Clay|Morocco|Ç398250|32|05.04.2010|11.04.2010|360|2010
40|Fayez Sarofim & Co. U.S. Men's Clay Court Championship|0|{'y': 2010, 'e': 717}|Clay|TX, U.S.A.|$442500|32|05.04.2010|11.04.2010|717|2010
41|Monte-Carlo Rolex Masters|0|{'y': 2010, 'e': 410}|Clay|Monaco|Ç2227500|64|12.04.2010|18.04.2010|410|2010
42|Barcelona Open Banc Sabadell|0|{'y': 2010, 'e': 425}|Clay|Spain|Ç1550000|64|19.04.2010|25.04.2010|425|2010
43|Internazionali BNL d'Italia|0|{'y': 2010, 'e': 416}|Clay|Italy|Ç2227500|64|26.04.2010|02.05.2010|416|2010
44|BMW Open by FWU AG|0|{'y': 2010, 'e': 308}|Clay|Germany|Ç398250|32|03.05.2010|09.05.2010|308|2010
45|Serbia Open|0|{'y': 2010, 'e': 5053}|Clay|Serbia|Ç373200|32|03.05.2010|09.05.2010|5053|2010
46|Portugal Open|0|{'y': 2010, 'e': 468}|Clay|Portugal|Ç398250|32|03.05.2010|09.05.2010|468|2010
47|Mutua Madrid Open|0|{'y': 2010, 'e': 1536}|Clay|Spain|Ç2835000|64|10.05.2010|16.05.2010|1536|2010
48|Open de Nice Côte d’Azur|0|{'y': 2010, 'e': 6120}|Clay|France|Ç398250|32|17.05.2010|23.05.2010|6120|2010
49|Dnsseldorf World Team Cup|0|{'y': 2010, 'e': 615}|Clay|Dnsseldorf|Ç750000|12|17.05.2010|23.05.2010|615|2010
50|Gerry Weber Open |0|{'y': 2010, 'e': 500}|Grass|Germany|Ç663750|32|07.06.2010|13.06.2010|500|2010
51|Aegon Championships|0|{'y': 2010, 'e': 311}|Grass|Great Britain|Ç627700|64|07.06.2010|13.06.2010|311|2010
52|Aegon International|0|{'y': 2010, 'e': 741}|Grass|Great Britain|Ç405000|32|14.06.2010|20.06.2010|741|2010
53|Topshelf Open|0|{'y': 2010, 'e': 440}|Grass|The Netherlands|Ç398250|32|14.06.2010|20.06.2010|440|2010
54|Hall of Fame Tennis Championships|0|{'y': 2010, 'e': 315}|Grass|RI, U.S.A.|$442500|32|05.07.2010|11.07.2010|315|2010
55|SkiStar Swedish Open|0|{'y': 2010, 'e': 316}|Clay|Sweden|Ç398250|32|12.07.2010|18.07.2010|316|2010
56|MercedesCup|0|{'y': 2010, 'e': 321}|Clay|Germany|Ç398250|32|12.07.2010|18.07.2010|321|2010
57|BB&T Atlanta Open|0|{'y': 2010, 'e': 6116}|Hard|GA, USA|$531000|32|19.07.2010|25.07.2010|6116|2010
58|bet-at-home Open|0|{'y': 2010, 'e': 414}|Clay|Germany|Ç1000000|64|19.07.2010|25.07.2010|414|2010
59|Crédit Agricole Suisse Open Gstaad|0|{'y': 2010, 'e': 314}|Clay|Switzerland|Ç398250|32|26.07.2010|01.08.2010|314|2010
60|Farmers Classic|0|{'y': 2010, 'e': 423}|Hard|CA, U.S.A.|$619500|32|26.07.2010|01.08.2010|423|2010
61|Vegeta Croatia Open Umag|0|{'y': 2010, 'e': 439}|Clay|Croatia|Ç398250|32|26.07.2010|01.08.2010|439|2010
62|Citi Open|0|{'y': 2010, 'e': 418}|Hard|DC, USA|$1165500|64|02.08.2010|08.08.2010|418|2010
63|Rogers Cup|0|{'y': 2010, 'e': 421}|Hard|Toronto, Canada|$2430000|64|09.08.2010|15.08.2010|421|2010
64|Western & Southern Open - Cincinnati|0|{'y': 2010, 'e': 422}|Hard|OH, U.S.A.|$2430000|64|16.08.2010|22.08.2010|422|2010
65|Pilot Pen Tennis|0|{'y': 2010, 'e': 3348}|Hard|CT, U.S.A.|$663750|64|23.08.2010|29.08.2010|3348|2010
66|BRD Nastase Tiriac Trophy|0|{'y': 2010, 'e': 773}|Clay|Romania|Ç368450|32|20.09.2010|26.09.2010|773|2010
67|Moselle Open|1|{'y': 2010, 'e': 341}|Hard|France|Ç398250|32|20.09.2010|26.09.2010|341|2010
68|Thailand Open|1|{'y': 2010, 'e': 1720}|Hard|Thailand|$551000|32|27.09.2010|03.10.2010|1720|2010
69|Malaysian Open, Kuala Lumpur|1|{'y': 2010, 'e': 6003}|Hard|Malaysia|$850000|32|27.09.2010|03.10.2010|6003|2010
70|China Open|0|{'y': 2010, 'e': 747}|Hard|China|$2100000|32|04.10.2010|10.10.2010|747|2010
71|Rakuten Japan Open Tennis Championships|0|{'y': 2010, 'e': 329}|Hard|Japan|$1100000|32|04.10.2010|10.10.2010|329|2010
72|Shanghai Rolex Masters|0|{'y': 2010, 'e': 5014}|Hard|China|$3240000|64|11.10.2010|17.10.2010|5014|2010
73|Kremlin Cup by Bank of Moscow|1|{'y': 2010, 'e': 438}|Hard|Russia|$1000000|32|18.10.2010|24.10.2010|438|2010
74|If Stockholm Open|1|{'y': 2010, 'e': 429}|Hard|Sweden|Ç531000|32|18.10.2010|24.10.2010|429|2010
75|Open Sud de France|1|{'y': 2010, 'e': 375}|Hard|France|Ç575250|32|25.10.2010|31.10.2010|375|2010
76|Negev Israel Open|1|{'y': 2010, 'e': 568}|Hard|Russia|$663750|32|25.10.2010|31.10.2010|568|2010
77|Erste Bank Open|1|{'y': 2010, 'e': 337}|Hard|Austria|Ç575250|32|25.10.2010|31.10.2010|337|2010
78|Valencia Open 500|1|{'y': 2010, 'e': 573}|Hard|Spain|Ç1357000|32|01.11.2010|07.11.2010|573|2010
79|Swiss Indoors Basel|1|{'y': 2010, 'e': 328}|Hard|Switzerland|Ç1225000|32|01.11.2010|07.11.2010|328|2010
80|BNP Paribas Masters|1|{'y': 2010, 'e': 352}|Hard|France|Ç2227500|64|08.11.2010|14.11.2010|352|2010
81|Barclays ATP World Tour Finals|1|{'y': 2010, 'e': 605}|Hard|London, England|$5070000|4|22.11.2010|28.11.2010|605|2010
82|Brisbane International presented by Suncorp|0|{'y': 2011, 'e': 339}|Hard|Australia|$422300|32|03.01.2011|09.01.2011|339|2011
83|Aircel Chennai Open|0|{'y': 2011, 'e': 891}|Hard|India|$398250|32|03.01.2011|09.01.2011|891|2011
84|Qatar ExxonMobil Open|0|{'y': 2011, 'e': 451}|Hard|Qatar|$1024000|32|03.01.2011|09.01.2011|451|2011
85|Heineken Open|0|{'y': 2011, 'e': 301}|Hard|New Zealand|$398250|32|10.01.2011|16.01.2011|301|2011
86|Apia International Sydney|0|{'y': 2011, 'e': 338}|Hard|Australia|$422300|32|10.01.2011|16.01.2011|338|2011
87|SA Tennis Open|0|{'y': 2011, 'e': 5012}|Hard|South Africa|$442500|32|31.01.2011|06.02.2011|5012|2011
88|Royal Guard Open Chile |0|{'y': 2011, 'e': 505}|Clay|Chile|$398250|32|31.01.2011|06.02.2011|505|2011
89|PBZ Zagreb Indoors|1|{'y': 2011, 'e': 2276}|Hard|Croatia|Ç398250|32|31.01.2011|06.02.2011|2276|2011
90|Brasil Open 2014|0|{'y': 2011, 'e': 533}|Clay|Brazil|$470200|32|07.02.2011|13.02.2011|533|2011
91|ABN AMRO World Tennis Tournament|1|{'y': 2011, 'e': 407}|Hard|The Netherlands|Ç1150000|32|07.02.2011|13.02.2011|407|2011
92|SAP Open|1|{'y': 2011, 'e': 424}|Hard|CA, U.S.A.|$531000|32|07.02.2011|13.02.2011|424|2011
93|Copa Claro|0|{'y': 2011, 'e': 506}|Clay|Argentina|$478900|32|14.02.2011|20.02.2011|506|2011
94|Open 13|1|{'y': 2011, 'e': 496}|Hard|France|Ç512750|32|14.02.2011|20.02.2011|496|2011
95|U.S. National Indoor Tennis Championships|1|{'y': 2011, 'e': 402}|Hard|TN, U.S.A.|$1100000|32|14.02.2011|20.02.2011|402|2011
96|Abierto Mexicano Telcel|0|{'y': 2011, 'e': 807}|Clay|Mexico|$1100000|32|21.02.2011|27.02.2011|807|2011
97|Delray Beach Open by The  Venetian® Las Vegas|0|{'y': 2011, 'e': 499}|Hard|FL, U.S.A.|$442500|32|21.02.2011|27.02.2011|499|2011
98|Dubai Duty Free Tennis Championships|0|{'y': 2011, 'e': 495}|Hard|U.A.E.|$1619500|32|21.02.2011|27.02.2011|495|2011
99|BNP Paribas Open|0|{'y': 2011, 'e': 404}|Hard|CA, U.S.A.|$3645000|128|07.03.2011|20.03.2011|404|2011
100|Miami Open, presented by Itau|0|{'y': 2011, 'e': 403}|Hard|FL, U.S.A.|$3645000|128|21.03.2011|03.04.2011|403|2011
101|Grand Prix Hassan II|0|{'y': 2011, 'e': 360}|Clay|Morocco|Ç398250|32|04.04.2011|10.04.2011|360|2011
102|Fayez Sarofim & Co. U.S. Men's Clay Court Championship|0|{'y': 2011, 'e': 717}|Clay|TX, U.S.A.|$442500|32|04.04.2011|10.04.2011|717|2011
103|Monte-Carlo Rolex Masters|0|{'y': 2011, 'e': 410}|Clay|Monaco|Ç2227500|64|11.04.2011|17.04.2011|410|2011
104|Barcelona Open Banc Sabadell|0|{'y': 2011, 'e': 425}|Clay|Spain|Ç1550000|64|18.04.2011|24.04.2011|425|2011
105|BMW Open by FWU AG|0|{'y': 2011, 'e': 308}|Clay|Germany|Ç398250|32|25.04.2011|01.05.2011|308|2011
106|Serbia Open|0|{'y': 2011, 'e': 5053}|Clay|Serbia|Ç364900|32|25.04.2011|01.05.2011|5053|2011
107|Portugal Open|0|{'y': 2011, 'e': 468}|Clay|Portugal|Ç398250|32|25.04.2011|01.05.2011|468|2011
108|Mutua Madrid Open|0|{'y': 2011, 'e': 1536}|Clay|Spain|Ç2835000|64|02.05.2011|08.05.2011|1536|2011
109|Internazionali BNL d'Italia|0|{'y': 2011, 'e': 416}|Clay|Italy|Ç2227500|64|09.05.2011|15.05.2011|416|2011
110|Open de Nice Côte d’Azur|0|{'y': 2011, 'e': 6120}|Clay|France|Ç398250|32|16.05.2011|22.05.2011|6120|2011
111|Power Horse World Team Cup|0|{'y': 2011, 'e': 615}|Clay|Dnsseldorf|Ç800000|8|16.05.2011|22.05.2011|615|2011
112|Gerry Weber Open |0|{'y': 2011, 'e': 500}|Grass|Germany|Ç663750|32|06.06.2011|12.06.2011|500|2011
113|Aegon Championships|0|{'y': 2011, 'e': 311}|Grass|Great Britain|Ç608000|64|06.06.2011|12.06.2011|311|2011
114|Aegon International|0|{'y': 2011, 'e': 741}|Grass|Great Britain|Ç410925|32|13.06.2011|19.06.2011|741|2011
115|Topshelf Open|0|{'y': 2011, 'e': 440}|Grass|The Netherlands|Ç398250|32|13.06.2011|19.06.2011|440|2011
116|Hall of Fame Tennis Championships|0|{'y': 2011, 'e': 315}|Grass|RI, U.S.A.|$442500|32|04.07.2011|10.07.2011|315|2011
117|SkiStar Swedish Open|0|{'y': 2011, 'e': 316}|Clay|Sweden|Ç398250|32|11.07.2011|17.07.2011|316|2011
118|MercedesCup|0|{'y': 2011, 'e': 321}|Clay|Germany|Ç398250|32|11.07.2011|17.07.2011|321|2011
119|BB&T Atlanta Open|0|{'y': 2011, 'e': 6116}|Hard|GA, USA|$531000|32|18.07.2011|24.07.2011|6116|2011
120|bet-at-home Open|0|{'y': 2011, 'e': 414}|Clay|Germany|Ç1000000|64|18.07.2011|24.07.2011|414|2011
121|Crédit Agricole Suisse Open Gstaad|0|{'y': 2011, 'e': 314}|Clay|Switzerland|Ç398250|32|25.07.2011|31.07.2011|314|2011
122|Farmers Classic|0|{'y': 2011, 'e': 423}|Hard|CA, U.S.A.|$619500|32|25.07.2011|31.07.2011|423|2011
123|Vegeta Croatia Open Umag|0|{'y': 2011, 'e': 439}|Clay|Croatia|Ç398250|32|25.07.2011|31.07.2011|439|2011
124|bet-at-home Cup Kitzbühel|0|{'y': 2011, 'e': 319}|Clay|Austria|Ç398250|32|01.08.2011|07.08.2011|319|2011
125|Citi Open|0|{'y': 2011, 'e': 418}|Hard|DC, USA|$1166400|64|01.08.2011|07.08.2011|418|2011
126|Rogers Cup|0|{'y': 2011, 'e': 421}|Hard|Montreal, Canada|$2430000|64|08.08.2011|14.08.2011|421|2011
127|Western & Southern Open - Cincinnati|0|{'y': 2011, 'e': 422}|Hard|OH, U.S.A.|$2592000|64|15.08.2011|21.08.2011|422|2011
128|Winston-Salem Open|0|{'y': 2011, 'e': 6242}|Hard|NC, U.S.A.|$553125|64|22.08.2011|28.08.2011|6242|2011
129|BRD Nastase Tiriac Trophy|0|{'y': 2011, 'e': 773}|Clay|Romania|Ç371200|32|19.09.2011|25.09.2011|773|2011
130|Moselle Open|1|{'y': 2011, 'e': 341}|Hard|France|Ç398250|32|19.09.2011|25.09.2011|341|2011
131|PTT Thailand Open|1|{'y': 2011, 'e': 1720}|Hard|Thailand|$587000|32|26.09.2011|02.10.2011|1720|2011
132|Malaysian Open, Kuala Lumpur|1|{'y': 2011, 'e': 6003}|Hard|Malaysia|$850000|32|26.09.2011|02.10.2011|6003|2011
133|China Open|0|{'y': 2011, 'e': 747}|Hard|China|$2100000|32|03.10.2011|09.10.2011|747|2011
134|Rakuten Japan Open Tennis Championships|0|{'y': 2011, 'e': 329}|Hard|Japan|$1214500|32|03.10.2011|09.10.2011|329|2011
135|Shanghai Rolex Masters|0|{'y': 2011, 'e': 5014}|Hard|Shanghai, China|$3240000|64|10.10.2011|16.10.2011|5014|2011
136|Kremlin Cup by Bank of Moscow|1|{'y': 2011, 'e': 438}|Hard|Russia|$725000|32|17.10.2011|23.10.2011|438|2011
137|If Stockholm Open|1|{'y': 2011, 'e': 429}|Hard|Sweden|Ç531000|32|17.10.2011|23.10.2011|429|2011
138|Negev Israel Open|1|{'y': 2011, 'e': 568}|Hard|Russia|$663750|32|24.10.2011|30.10.2011|568|2011
139|Erste Bank Open|1|{'y': 2011, 'e': 337}|Hard|Austria|Ç575250|32|24.10.2011|30.10.2011|337|2011
140|Swiss Indoors Basel|1|{'y': 2011, 'e': 328}|Hard|Switzerland|Ç1308100|32|31.10.2011|06.11.2011|328|2011
141|Valencia Open 500|1|{'y': 2011, 'e': 573}|Hard|Spain|Ç1357000|32|31.10.2011|06.11.2011|573|2011
142|BNP Paribas Masters|1|{'y': 2011, 'e': 352}|Hard|France|Ç2227500|64|07.11.2011|13.11.2011|352|2011
143|Barclays ATP World Tour Finals|1|{'y': 2011, 'e': 605}|Hard|Great Britain|$5070000|4|21.11.2011|27.11.2011|605|2011
144|Brisbane International presented by Suncorp|0|{'y': 2012, 'e': 339}|Hard|Australia|$434250|32|02.01.2012|08.01.2012|339|2012
145|Aircel Chennai Open|0|{'y': 2012, 'e': 891}|Hard|India|$398250|32|02.01.2012|08.01.2012|891|2012
146|Qatar ExxonMobil Open|0|{'y': 2012, 'e': 451}|Hard|Qatar|$1024000|32|02.01.2012|08.01.2012|451|2012
147|Heineken Open|0|{'y': 2012, 'e': 301}|Hard|New Zealand|$398250|32|09.01.2012|15.01.2012|301|2012
148|Apia International Sydney|0|{'y': 2012, 'e': 338}|Hard|Australia|$434250|32|09.01.2012|15.01.2012|338|2012
149|Open Sud de France|1|{'y': 2012, 'e': 375}|Hard|France|Ç398250|32|30.01.2012|05.02.2012|375|2012
150|Royal Guard Open Chile |0|{'y': 2012, 'e': 505}|Clay|Chile|$398250|32|30.01.2012|05.02.2012|505|2012
151|PBZ Zagreb Indoors|1|{'y': 2012, 'e': 2276}|Hard|Croatia|Ç398250|32|30.01.2012|05.02.2012|2276|2012
152|ABN AMRO World Tennis Tournament|1|{'y': 2012, 'e': 407}|Hard|The Netherlands|Ç1207500|32|13.02.2012|19.02.2012|407|2012
153|SAP Open|1|{'y': 2012, 'e': 424}|Hard|CA, U.S.A.|$531000|32|13.02.2012|19.02.2012|424|2012
154|Brasil Open 2014|1|{'y': 2012, 'e': 533}|Clay|Brazil|$475300|32|13.02.2012|19.02.2012|533|2012
155|Copa Claro|0|{'y': 2012, 'e': 506}|Clay|Argentina|$484100|32|20.02.2012|26.02.2012|506|2012
156|Open 13|1|{'y': 2012, 'e': 496}|Hard|France|Ç512750|32|20.02.2012|26.02.2012|496|2012
157|U.S. National Indoor Tennis Championships|1|{'y': 2012, 'e': 402}|Hard|TN, U.S.A.|$1155000|32|20.02.2012|26.02.2012|402|2012
158|Abierto Mexicano Telcel|0|{'y': 2012, 'e': 807}|Clay|Mexico|$1155000|32|27.02.2012|04.03.2012|807|2012
159|Delray Beach Open by The  Venetian® Las Vegas|0|{'y': 2012, 'e': 499}|Hard|FL, U.S.A.|$442500|32|27.02.2012|04.03.2012|499|2012
160|Dubai Duty Free Tennis Championships|0|{'y': 2012, 'e': 495}|Hard|U.A.E.|$1700475|32|27.02.2012|04.03.2012|495|2012
161|BNP Paribas Open|0|{'y': 2012, 'e': 404}|Hard|CA, U.S.A.|$4694969|128|05.03.2012|18.03.2012|404|2012
162|Miami Open, presented by Itau|0|{'y': 2012, 'e': 403}|Hard|FL, U.S.A.|$3973050|128|19.03.2012|01.04.2012|403|2012
163|Grand Prix Hassan II|0|{'y': 2012, 'e': 360}|Clay|Morocco|Ç398250|32|09.04.2012|15.04.2012|360|2012
164|Fayez Sarofim & Co. U.S. Men's Clay Court Championship|0|{'y': 2012, 'e': 717}|Clay|TX, U.S.A.|$442500|32|09.04.2012|15.04.2012|717|2012
165|Monte-Carlo Rolex Masters|0|{'y': 2012, 'e': 410}|Clay|Monaco|Ç2427975|64|16.04.2012|22.04.2012|410|2012
166|Barcelona Open Banc Sabadell|0|{'y': 2012, 'e': 425}|Clay|Spain|Ç1627500|64|23.04.2012|29.04.2012|425|2012
167|BRD Nastase Tiriac Trophy|0|{'y': 2012, 'e': 773}|Clay|Romania|Ç398250|32|23.04.2012|29.04.2012|773|2012
168|Serbia Open|0|{'y': 2012, 'e': 5053}|Clay|Serbia|Ç366950|32|30.04.2012|06.05.2012|5053|2012
169|Portugal Open|0|{'y': 2012, 'e': 468}|Clay|Portugal|Ç398250|32|30.04.2012|06.05.2012|468|2012
170|BMW Open by FWU AG|0|{'y': 2012, 'e': 308}|Clay|Germany|Ç398250|32|30.04.2012|06.05.2012|308|2012
171|Mutua Madrid Open|0|{'y': 2012, 'e': 1536}|Clay|Spain|Ç3090150|64|07.05.2012|13.05.2012|1536|2012
172|Internazionali BNL d'Italia|0|{'y': 2012, 'e': 416}|Clay|Italy|Ç2427975|64|14.05.2012|20.05.2012|416|2012
173|Open de Nice Côte d’Azur|0|{'y': 2012, 'e': 6120}|Clay|France|Ç398250|32|21.05.2012|27.05.2012|6120|2012
174|Gerry Weber Open |0|{'y': 2012, 'e': 500}|Grass|Germany|Ç663750|32|11.06.2012|17.06.2012|500|2012
175|Aegon Championships|0|{'y': 2012, 'e': 311}|Grass|Great Britain|Ç625300|64|11.06.2012|17.06.2012|311|2012
176|Topshelf Open|0|{'y': 2012, 'e': 440}|Grass|The Netherlands|Ç398250|32|18.06.2012|24.06.2012|440|2012
177|Aegon International|0|{'y': 2012, 'e': 741}|Grass|Great Britain|Ç403950|32|18.06.2012|24.06.2012|741|2012
178|SkiStar Swedish Open|0|{'y': 2012, 'e': 316}|Clay|Sweden|Ç358425|32|09.07.2012|15.07.2012|316|2012
179|Hall of Fame Tennis Championships|0|{'y': 2012, 'e': 315}|Grass|RI, U.S.A.|$398250|32|09.07.2012|15.07.2012|315|2012
180|MercedesCup|0|{'y': 2012, 'e': 321}|Clay|Germany|Ç358425|32|09.07.2012|15.07.2012|321|2012
181|Vegeta Croatia Open Umag|0|{'y': 2012, 'e': 439}|Clay|Croatia|Ç358425|32|09.07.2012|15.07.2012|439|2012
182|BB&T Atlanta Open|0|{'y': 2012, 'e': 6116}|Hard|GA, USA|$477900|32|16.07.2012|22.07.2012|6116|2012
183|Crédit Agricole Suisse Open Gstaad|0|{'y': 2012, 'e': 314}|Clay|Switzerland|Ç358425|32|16.07.2012|22.07.2012|314|2012
184|bet-at-home Open|0|{'y': 2012, 'e': 414}|Clay|Germany|Ç900000|32|16.07.2012|22.07.2012|414|2012
185|bet-at-home Cup Kitzbühel|0|{'y': 2012, 'e': 319}|Clay|Austria|Ç358425|32|23.07.2012|29.07.2012|319|2012
186|Farmers Classic|0|{'y': 2012, 'e': 423}|Hard|CA, U.S.A.|$557550|32|23.07.2012|29.07.2012|423|2012
187|London Olympics|0|{'y': 2012, 'e': 96}|Grass|Great Britain|ú0|64|30.07.2012|05.08.2012|96|2012
188|Citi Open|0|{'y': 2012, 'e': 418}|Hard|DC, USA|$1049760|32|30.07.2012|05.08.2012|418|2012
189|Rogers Cup|0|{'y': 2012, 'e': 421}|Hard|Toronto, Ontario|$2648700|64|06.08.2012|12.08.2012|421|2012
190|Western & Southern Open - Cincinnati|0|{'y': 2012, 'e': 422}|Hard|OH, U.S.A.|$2825280|64|13.08.2012|19.08.2012|422|2012
191|Winston-Salem Open|0|{'y': 2012, 'e': 6242}|Hard|NC, U.S.A.|$553125|64|20.08.2012|26.08.2012|6242|2012
192|Moselle Open|1|{'y': 2012, 'e': 341}|Hard|France|Ç398250|32|17.09.2012|23.09.2012|341|2012
193|Negev Israel Open|1|{'y': 2012, 'e': 568}|Hard|Russia|$410850|32|17.09.2012|23.09.2012|568|2012
194|Thailand Open|1|{'y': 2012, 'e': 1720}|Hard|Thailand|$551000|32|24.09.2012|30.09.2012|1720|2012
195|Malaysian Open, Kuala Lumpur|1|{'y': 2012, 'e': 6003}|Hard|Malaysia|$850000|32|24.09.2012|30.09.2012|6003|2012
196|China Open|0|{'y': 2012, 'e': 747}|Hard|China|$2205000|32|01.10.2012|07.10.2012|747|2012
197|Rakuten Japan Open Tennis Championships|0|{'y': 2012, 'e': 329}|Hard|Japan|$1280565|32|01.10.2012|07.10.2012|329|2012
198|Shanghai Rolex Masters|0|{'y': 2012, 'e': 5014}|Hard|Shanghai, China|$3531600|64|08.10.2012|14.10.2012|5014|2012
199|Kremlin Cup by Bank of Moscow|1|{'y': 2012, 'e': 438}|Hard|Russia|$673150|32|15.10.2012|21.10.2012|438|2012
200|If Stockholm Open|1|{'y': 2012, 'e': 429}|Hard|Sweden|Ç486750|32|15.10.2012|21.10.2012|429|2012
201|Erste Bank Open|1|{'y': 2012, 'e': 337}|Hard|Austria|Ç486750|32|15.10.2012|21.10.2012|337|2012
202|Valencia Open 500|1|{'y': 2012, 'e': 573}|Hard|Spain|Ç1424850|32|22.10.2012|28.10.2012|573|2012
203|Swiss Indoors Basel|1|{'y': 2012, 'e': 328}|Hard|Switzerland|Ç1404300|32|22.10.2012|28.10.2012|328|2012
204|BNP Paribas Masters|1|{'y': 2012, 'e': 352}|Hard|France|Ç2427975|64|29.10.2012|04.11.2012|352|2012
