ID|Code|IDPlayer|RealName|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro|Country
1865|H380|He/I/Ivo-Heuberger|Ivo Heuberger|19|2|1976|188|77|1|1995|Switzerland
1866|KD20|Ko/A/Arkadiusz-Kocyla-KD20|Arkadiusz Kocyla KD20|2|11|1993|-1|-1|1|-1|Poland
1867|SG28|Sh/V/Vivek-Shokeen|Vivek Shokeen|31|7|1987|-1|-1|-1|-1|India
1868|SG29|Sa/N/Nicolas-Santos|Nicolas Santos|5|1|1988|-1|-1|-1|-1|Brazil
1869|T213|Th/J/Jim-Thomas|Jim Thomas|24|9|1974|193|91|1|1996|United States
1870|T212|To/D/Dmitri-Tomashevich|Dmitri Tomashevich|6|3|1974|-1|-1|1|-1|Uzbekistan
1871|SG20|Sa/M/Marco-Sattanino|Marco Sattanino|18|3|1986|-1|-1|-1|-1|Italy
1872|Z151|Ze/S/Shao-Xuan-Zeng|Zeng Shaoxuan|29|8|1981|185|83|1|2002|China
1873|V446|Vi/I/Ignacio-Vicente|Ignacio Vicente|23|9|1984|-1|-1|-1|-1|Spain
1874|G457|Go/J/Josh-Goffi|Josh Goffi|24|1|1979|-1|-1|1|-1|Brazil
1875|G326|Ga/M/Michal-Gawlowski|Michal Gawlowski|28|7|1975|-1|-1|1|-1|Poland
1876|M538|Mo/D/Diego-Moyano|Diego Moyano|14|3|1975|175|75|1|1997|Argentina
1877|G450|Gr/R/Ralph-Grambow|Ralph Grambow|14|7|1979|-1|-1|1|-1|Germany
1878|E628|Es/I/Ivan-Estevez|Ivan Estevez|-1|-1|-1|-1|-1|-1|-1|Spain
1879|E195|Ed/J/Julian-Edwards|Julian Edwards|13|2|1981|-1|-1|-1|-1|Great Britain
1880|M532|Mi/A/Aleksander-Mierzwinski|Aleksander Mierzwinski|7|12|1975|-1|-1|1|-1|Poland
1881|M531|Mo/G/Gouichi-Motomura|Gouichi Motomura|25|12|1973|173|64|1|1992|Japan
1882|E196|Ei/R/Rainer-Eitzinger|Rainer Eitzinger|28|6|1983|178|65|1|2003|Austria
1883|G328|Gr/E/Elia-Grossi|Elia Grossi|3|6|1974|-1|-1|1|-1|Italy
1884|M535|Ma/F/Felix-Mantilla|Felix Mantilla|23|9|1974|180|78|1|1993|Spain
1885|O481|Or/M/Myles-Orton|Myles Orton|23|3|1994|-1|-1|1|-1|Great Britain
1886|C834|Top-Players/Juan-Sebastian-Cabal|Juan Sebastián Cabal|25|4|1986|185|82|1|-1|Colombia
1887|J312|Je/D/David-Jeflea|David Jeflea|2|9|1986|-1|-1|1|-1|Australia
1888|C831|Cu/D/Diego-Cubas|Diego Cubas|14|3|1986|-1|-1|-1|-1|Brazil
1889|T858|Ta/F/Farshad-Talavar|Farshad Talavar|26|5|1976|-1|-1|-1|-1|Iran, Islamic Republic of
1890|SL92|Se/S/Shuichi-Sekiguchi|Shuichi Sekiguchi|15|7|1991|-1|-1|-1|-1|Japan
1891|CA14|Ca/J/Julio-Victor-Casarotti|Julio Victor Casarotti|26|10|1985|-1|-1|-1|-1|Brazil
1892|GB69|Gi/Z/Zachary-Gilbert|Zachary Gilbert|25|11|1988|-1|-1|-1|-1|United States
1893|CG49|Ca/A/Andrew-Carter|Andrew Carter|28|3|1990|-1|-1|-1|-1|United States
1894|GB64|Gh/L/Lucian-Gheorghe|Lucian Gheorghe|27|8|1992|-1|-1|-1|-1|Romania
1895|PB29|Pe/M/Martin-Pedersen|Martin Pedersen|15|6|1987|-1|-1|-1|-1|Denmark
1896|GB61|Ga/V/Viktor-Galovic|Viktor Galović|19|9|1990|-1|-1|-1|-1|Croatia
1897|CG40|Ci/P/Patrick-Ciorcila|Patrick Ciorcila|20|9|1996|180|70|1|-1|Romania
1898|KH89|Kn/D/Daniel-Knoflicek|Daniel Knoflicek|5|1|1995|-1|-1|-1|-1|Czech Republic
1899|M620|Ma/C/Charles-Edouard-Maria|Charles Edouard Maria|18|5|1974|-1|-1|1|-1|France
1900|SD31|So/A/Andrei-Somov|Andrei Somov|18|3|1984|-1|-1|-1|-1|Russian Federation
1901|SD32|Top-Players/Gilles-Simon|Gilles Simon|27|12|1984|183|70|1|2002|France
1902|SO02|So/W/Warit-Sornbutnark|Warit Sornbutnark|27|2|1993|-1|-1|-1|-1|Thailand
1903|K969|Ku/V/Vaclav-Kucera|Vaclav Kucera|25|6|1987|-1|70|1|-1|Czech Republic
1904|K966|Top-Players/Martin-Klizan|Martin Kližan|11|7|1989|188|75|0|2007|Slovakia
1905|K964|Kl/B/Brydan-Klein|Brydan Klein|31|12|1989|188|82|1|2008|Great Britain
1906|K960|Kl/V/Vladyslav-Klymenko|Vladyslav Klymenko|24|6|1988|-1|82|1|-1|Ukraine
1907|H387|Hu/J/John-Hui|Hui Chiu-yin|3|1|1978|-1|-1|1|-1|Hong Kong
1908|J263|Ju/W/Woong-Sun-Jun|Woong Sun Jun|14|6|1986|190|90|1|2005|Korea, Republic of
1909|J267|Ja/M/Malek-Jaziri|Malek Jaziri|20|1|1984|185|80|1|-1|Tunisia
1910|R640|Ru/H/Hector-Ruiz-Cadenas|Hector Ruiz Cadenas|27|4|1983|-1|-1|-1|-1|Spain
1911|R641|Ro/I/Idan-Rosenberg|Idan Rosenberg|31|3|1983|-1|-1|-1|-1|Israel
1912|R644|Re/A/Alexandre-Renard|Alexandre Renard|29|5|1982|-1|-1|-1|-1|France
1913|R646|Ru/T/Tom-Rushby|Tom Rushby|4|6|1986|-1|-1|-1|-1|Great Britain
1914|SN34|Si/D/Daniil-Sirota|Daniil Sirota|30|9|1992|-1|-1|1|-1|Russian Federation
1915|SE40|Si/G/Guilherme-Silveira|Guilherme Silveira|-1|-1|-1|-1|-1|-1|-1|Brazil
1916|BH22|Ba/S/Sam-Barry|Sam Barry|27|1|1992|-1|-1|-1|-1|Ireland
1917|F786|Fa/S/Sanjar-Fayziev|Sanjar Fayziev|29|7|1994|-1|-1|-1|-1|Uzbekistan
1918|KG72|Ka/D/Djurabeck-Karimov|Djurabeck Karimov|4|6|1998|-1|-1|-1|-1|Uzbekistan
1919|A611|Al/J/Jamil-Al-Agba|Jamil Al Agba|-1|-1|-1|-1|-1|-1|0|United States
1920|B305|Br/K/Karsten-Braasch|Karsten Braasch|14|7|1967|180|73|0|1987|Germany
1921|ME29|Mo/S/Steven-Moneke|Steven Moneke|27|5|1986|-1|-1|-1|-1|Germany
1922|G983|Gi/A/Alessandro-Giannessi|Alessandro Giannessi|30|5|1990|185|82|0|-1|Italy
1923|CB36|Co/R/Rudy-Coco|Rudy Coco|21|3|1984|-1|-1|-1|-1|France
1924|G985|Go/C/Carlos-Gomez-Herrera|Carlos Gomez Herrera|30|4|1990|-1|-1|-1|-1|Spain
1925|G987|Go/M/Marcel-Goodman|Marcel Goodman|3|4|1987|-1|-1|-1|-1|United States
